date,open,high,low,close,Adj Close,Volume
2022-02-22,137.770004,138.240005,135.940002,136.449997,134.338287,8460300
2022-02-23,136.860001,137.190002,134.839996,135.050003,132.959961,7010300
2022-02-24,133.910004,135.009995,132.009995,134.529999,132.447998,10572500
2022-02-25,134.809998,136.779999,134.089996,136.380005,134.269394,8332600
2022-02-28,135.000000,136.070007,133.770004,135.160004,133.068268,8762200
2022-03-01,135.869995,137.889999,135.020004,135.990005,133.885422,8008300
2022-03-02,135.660004,136.830002,135.179993,136.160004,134.052780,7954600
2022-03-03,137.289993,140.470001,136.550003,139.289993,137.134338,9961700
2022-03-04,137.809998,142.940002,137.589996,142.820007,140.609726,11858800
2022-03-07,141.300003,143.630005,140.449997,141.669998,139.477509,15290000
2022-03-08,141.500000,142.460007,138.580002,138.740005,136.592850,9435200
2022-03-09,140.000000,140.240005,138.139999,139.460007,137.301712,7374300
2022-03-10,139.490005,143.000000,139.009995,142.630005,140.422668,9170900
2022-03-11,142.300003,144.050003,141.880005,142.070007,139.871323,6387400
2022-03-14,142.020004,144.850006,141.990005,144.050003,141.820694,7548800
2022-03-15,144.529999,146.149994,143.850006,145.779999,143.523895,7624200
2022-03-16,145.389999,146.940002,143.699997,145.350006,143.100571,8205300
2022-03-17,144.449997,145.300003,142.649994,145.009995,143.317993,6341000
2022-03-18,145.179993,145.570007,144.110001,145.440002,143.742981,10411100
2022-03-21,145.429993,147.289993,143.619995,144.229996,142.547104,7116900
2022-03-22,144.610001,144.970001,142.979996,143.800003,142.122116,6745000
2022-03-23,143.139999,143.729996,141.520004,141.949997,140.293686,6541800
2022-03-24,142.389999,143.910004,141.880005,142.830002,141.163422,4480300
2022-03-25,143.449997,143.929993,142.259995,143.449997,141.776184,4695100
2022-03-28,143.500000,146.059998,143.300003,146.000000,144.296432,6701900
2022-03-29,146.600006,148.100006,146.250000,147.229996,145.512070,6644800
2022-03-30,147.130005,150.179993,147.039993,149.869995,148.121292,8330500
2022-03-31,148.789993,150.539993,148.179993,148.919998,147.182358,9054600
2022-04-01,149.660004,151.270004,148.839996,151.009995,149.247971,6979900
2022-04-04,150.910004,153.199997,150.080002,151.039993,149.277634,8444200
2022-04-05,150.880005,153.330002,150.880005,151.470001,149.702621,6219300
2022-04-06,151.020004,155.419998,150.500000,154.990005,153.181534,9339500
2022-04-07,155.100006,157.539993,154.440002,156.539993,154.713440,9029400
2022-04-08,156.910004,158.410004,156.210007,157.410004,155.573318,7764800
2022-04-11,156.970001,158.240005,153.630005,154.289993,152.489700,8237600
2022-04-12,154.240005,155.399994,152.550003,153.229996,151.442078,8920400
2022-04-13,153.449997,157.789993,153.350006,157.220001,155.385529,9761500
2022-04-14,157.110001,158.289993,156.429993,157.080002,155.247147,7453500
2022-04-18,156.750000,157.979996,155.210007,155.880005,154.061157,4890600
2022-04-19,156.669998,157.949997,156.039993,157.649994,155.810501,5285000
2022-04-20,158.350006,160.350006,158.289993,159.630005,157.767410,6607200
2022-04-21,159.919998,160.770004,159.070007,159.869995,158.004593,6056100
2022-04-22,160.250000,160.360001,156.660004,156.860001,155.029724,7015400
2022-04-25,156.369995,157.470001,154.350006,156.940002,155.108795,6019200
2022-04-26,156.369995,158.130005,155.199997,155.300003,153.487915,6533700
2022-04-27,155.529999,156.199997,154.020004,154.240005,152.440308,5832300
2022-04-28,155.229996,156.979996,154.100006,156.210007,154.387314,4985300
2022-04-29,155.809998,156.220001,152.710007,152.990005,151.204880,7029600
2022-05-02,154.960007,154.990005,150.320007,151.979996,150.206650,6672000
2022-05-03,152.429993,154.279999,151.779999,152.509995,150.730469,5983500
2022-05-04,152.029999,154.820007,151.509995,154.619995,152.815857,6674200
2022-05-05,153.639999,153.830002,151.399994,152.740005,151.506516,7744800
2022-05-06,151.710007,153.949997,148.270004,149.559998,148.352203,11419400
2022-05-09,148.470001,153.100006,148.190002,151.309998,150.088058,9402400
2022-05-10,151.429993,152.289993,148.559998,149.179993,147.975250,8287100
2022-05-11,149.399994,150.750000,146.910004,147.619995,146.427856,9292900
2022-05-12,147.860001,150.149994,146.520004,147.479996,146.288986,8414800
2022-05-13,147.710007,148.380005,146.139999,148.050003,146.854401,6654100
2022-05-16,149.380005,149.729996,146.460007,148.210007,147.013107,7149700
2022-05-17,136.429993,137.440002,130.639999,131.350006,130.289261,44313400
2022-05-18,128.029999,128.270004,121.529999,122.430000,121.441292,34751000
2022-05-19,120.870003,121.790001,118.599998,119.070000,118.108429,23669500
2022-05-20,119.639999,120.839996,117.269997,119.199997,118.237373,16452000
2022-05-23,119.919998,123.769997,119.860001,122.599998,121.609917,14560300
2022-05-24,121.209999,124.550003,121.080002,124.129997,123.127563,11528300
2022-05-25,124.000000,124.669998,122.599998,123.370003,122.373703,9040600
2022-05-26,125.300003,126.400002,124.400002,126.000000,124.982468,9399200
2022-05-27,125.489998,128.619995,125.309998,128.479996,127.442429,8433300
2022-05-31,127.459999,129.899994,127.419998,128.630005,127.591217,12304100
2022-06-01,128.500000,128.919998,124.680000,125.449997,124.436897,9511600
2022-06-02,125.570000,127.529999,124.330002,127.510002,126.480270,7738100
2022-06-03,126.669998,127.419998,125.089996,125.320000,124.307953,6100900
2022-06-06,125.820000,126.300003,124.589996,124.870003,123.861595,6618500
2022-06-07,121.239998,123.489998,120.879997,123.370003,122.373703,15902600
2022-06-08,122.349998,123.910004,121.949997,122.300003,121.312347,7507600
2022-06-09,122.000000,124.349998,120.989998,121.019997,120.042679,6626700
2022-06-10,119.750000,122.739998,119.339996,121.699997,120.717186,8412700
2022-06-13,119.739998,121.239998,119.089996,119.410004,118.445679,8299300
2022-06-14,119.129997,120.000000,118.169998,119.459999,118.495277,7181400
2022-06-15,119.970001,120.410004,117.900002,119.379997,118.415916,8638000
2022-06-16,118.349998,121.760002,118.230003,120.620003,119.645912,10235600
2022-06-17,120.019997,120.879997,117.970001,118.290001,117.334724,12279600
2022-06-21,118.300003,122.779999,118.220001,122.169998,121.183388,7972200
2022-06-22,122.099998,123.250000,120.589996,120.690002,119.715340,6745000
2022-06-23,121.750000,123.959999,121.199997,123.620003,122.621681,6013600
2022-06-24,124.089996,125.309998,123.160004,123.720001,122.720879,10615300
2022-06-27,123.779999,124.739998,122.790001,124.120003,123.117645,6629700
2022-06-28,124.660004,125.570000,122.290001,122.370003,121.381775,5133000
2022-06-29,122.889999,123.349998,120.970001,121.919998,120.935410,6370500
2022-06-30,120.879997,122.059998,119.889999,121.580002,120.598152,6388700
2022-07-01,121.940002,122.919998,121.160004,122.629997,121.639671,5820300
2022-07-05,122.209999,124.510002,121.610001,124.250000,123.246597,6072700
2022-07-06,124.480003,126.279999,124.300003,125.129997,124.119484,7100000
2022-07-07,125.190002,125.529999,124.120003,125.320000,124.307953,5829100
2022-07-08,125.820000,126.610001,125.150002,125.400002,124.387306,4917000
2022-07-11,125.019997,126.330002,124.620003,125.449997,124.436897,3844300
2022-07-12,125.110001,127.129997,124.720001,125.070000,124.059967,4577400
2022-07-13,124.440002,126.459999,123.910004,125.370003,124.357552,4229700
2022-07-14,124.160004,128.320007,124.139999,127.820000,126.787766,6968500
2022-07-15,128.800003,130.270004,128.050003,129.070007,128.027679,7061400
2022-07-18,128.649994,130.300003,128.259995,128.770004,127.730095,4747900
